gene,drug,interaction
0,0,1
1,1,1
2,2,1
3,3,1
4,4,1
5,5,1
6,6,1
2,7,1
7,8,1
8,9,1
10,11,1
11,12,1
12,13,1
13,14,1
14,15,1
15,16,1
17,18,1
18,19,1
19,20,1
20,21,1
21,22,1
23,24,1
24,25,1
25,26,1
26,27,1
8,28,1
28,30,1
29,31,1
31,33,1
33,34,1
36,37,1
38,39,1
39,40,1
40,43,1
42,45,1
31,46,1
43,47,1
44,48,1
45,49,1
47,51,1
48,52,1
49,53,1
50,54,1
52,56,1
53,57,1
55,59,1
56,60,1
57,61,1
58,62,1
59,63,1
60,64,1
61,65,1
62,66,1
64,68,1
65,69,1
66,70,1
67,71,1
68,73,1
69,74,1
46,76,1
70,77,1
71,78,1
73,80,1
74,81,1
75,53,1
8,82,1
77,84,1
78,85,1
77,86,1
13,87,1
79,88,1
82,47,1
46,93,1
84,94,1
85,95,1
86,96,1
15,97,1
87,98,1
88,99,1
89,100,1
51,101,1
94,107,1
95,108,1
96,109,1
97,110,1
98,111,1
99,112,1
100,113,1
101,114,1
102,115,1
103,116,1
104,66,1
105,117,1
27,118,1
106,119,1
107,120,1
108,121,1
62,122,1
109,123,1
31,124,1
112,127,1
114,129,1
115,130,1
116,131,1
117,132,1
116,131,1
118,133,1
119,134,1
120,135,1
121,136,1
123,138,1
124,139,1
125,140,1
126,141,1
25,142,1
61,143,1
72,144,1
127,145,1
128,146,1
48,147,1
129,148,1
120,135,1
130,150,1
131,151,1
81,152,1
132,153,1
133,154,1
134,155,1
135,136,1
136,156,1
137,157,1
138,158,1
139,159,1
46,160,1
140,161,1
141,162,1
142,163,1
143,164,1
128,165,1
89,144,1
144,166,1
145,167,1
146,168,1
147,171,1
148,172,1
149,173,1
150,174,1
151,175,1
73,176,1
152,177,1
153,178,1
25,179,1
28,180,1
154,181,1
155,182,1
156,183,1
157,184,1
158,185,1
159,186,1
125,187,1
160,188,1
143,189,1
161,190,1
162,191,1
163,192,1
25,193,1
164,194,1
165,195,1
166,196,1
167,197,1
143,198,1
168,199,1
36,201,1
36,202,1
96,203,1
170,205,1
170,109,1
170,206,1
170,65,1
171,208,1
171,96,1
171,209,1
21,207,1
21,210,1
172,211,1
172,212,1
109,213,1
172,56,1
174,215,1
175,216,1
17,155,1
176,217,1
177,218,1
176,219,1
178,220,1
178,96,1
72,220,1
109,222,1
17,144,1
180,224,1
181,226,1
73,227,1
73,228,1
46,229,1
46,230,1
46,231,1
58,233,1
182,234,1
183,235,1
184,237,1
185,238,1
185,239,1
185,240,1
41,241,1
186,240,1
139,243,1
189,173,1
190,247,1
190,248,1
190,249,1
191,250,1
102,251,1
102,252,1
192,253,1
193,254,1
194,255,1
195,256,1
7,257,1
40,258,1
103,259,1
196,260,1
197,261,1
198,262,1
199,263,1
199,264,1
199,265,1
201,267,1
202,268,1
202,269,1
74,271,1
203,272,1
204,274,1
205,275,1
205,276,1
205,277,1
206,278,1
205,279,1
207,280,1
208,282,1
209,283,1
192,284,1
210,285,1
211,286,1
30,287,1
30,288,1
30,289,1
30,290,1
30,291,1
212,292,1
213,293,1
214,294,1
215,296,1
216,297,1
48,301,1
48,302,1
219,303,1
219,304,1
220,305,1
221,306,1
221,308,1
221,309,1
222,310,1
222,311,1
224,313,1
225,314,1
226,315,1
150,155,1
227,310,1
228,145,1
227,155,1
229,316,1
230,317,1
231,318,1
232,320,1
232,321,1
113,323,1
233,324,1
234,325,1
235,326,1
236,327,1
237,328,1
238,330,1
238,331,1
238,332,1
239,331,1
240,333,1
42,334,1
241,335,1
242,336,1
243,337,1
243,338,1
244,122,1
245,339,1
245,338,1
246,340,1
77,342,1
247,343,1
248,344,1
249,345,1
249,346,1
249,347,1
151,348,1
252,351,1
253,352,1
254,353,1
255,354,1
256,355,1
257,356,1
119,357,1
0,358,1
27,156,1
27,359,1
27,360,1
258,310,1
259,361,1
258,362,1
260,363,1
261,365,1
262,366,1
263,368,1
264,367,1
265,369,1
266,370,1
266,371,1
163,372,1
266,373,1
267,374,1
268,375,1
269,376,1
270,377,1
271,378,1
98,381,1
180,382,1
81,383,1
275,385,1
22,386,1
22,387,1
22,389,1
22,390,1
143,393,1
143,395,1
276,388,1
276,397,1
143,398,1
276,391,1
276,392,1
276,401,1
277,402,1
99,404,1
99,405,1
51,406,1
51,407,1
51,408,1
51,410,1
279,409,1
279,92,1
280,92,1
281,68,1
280,409,1
282,411,1
11,391,1
283,412,1
284,413,1
8,414,1
286,416,1
285,417,1
39,418,1
287,418,1
288,419,1
290,421,1
291,423,1
291,106,1
100,425,1
292,425,1
293,427,1
295,429,1
296,430,1
298,432,1
298,433,1
298,436,1
69,438,1
299,439,1
148,440,1
299,438,1
299,441,1
299,442,1
300,444,1
300,445,1
301,447,1
302,448,1
304,451,1
304,452,1
304,453,1
305,454,1
306,455,1
307,456,1
307,457,1
307,458,1
308,458,1
16,460,1
160,461,1
310,463,1
311,464,1
137,465,1
310,466,1
310,467,1
313,469,1
314,470,1
315,470,1
316,471,1
317,472,1
316,473,1
318,140,1
319,469,1
319,474,1
320,475,1
84,476,1
84,477,1
321,120,1
322,479,1
323,480,1
324,481,1
324,391,1
325,482,1
325,483,1
326,484,1
95,485,1
327,486,1
328,487,1
329,488,1
330,489,1
331,490,1
332,491,1
332,361,1
333,451,1
333,313,1
334,493,1
336,495,1
337,496,1
138,496,1
156,497,1
338,498,1
339,499,1
340,139,1
341,500,1
342,501,1
297,503,1
221,505,1
140,506,1
345,507,1
346,508,1
347,509,1
348,511,1
48,512,1
76,515,1
350,516,1
351,517,1
352,518,1
354,520,1
355,521,1
194,522,1
356,523,1
357,524,1
358,525,1
359,526,1
231,527,1
360,529,1
361,530,1
186,238,1
291,532,1
362,533,1
363,274,1
364,535,1
365,536,1
271,537,1
366,257,1
367,539,1
308,457,1
41,144,1
34,540,1
368,541,1
369,542,1
0,287,1
28,543,1
74,544,1
370,545,1
291,546,1
371,491,1
308,547,1
36,548,1
372,550,1
373,551,1
374,493,1
48,552,1
171,207,1
185,553,1
375,493,1
376,554,1
377,555,1
160,556,1
31,557,1
378,558,1
379,376,1
380,559,1
381,560,1
70,123,1
382,561,1
108,562,1
228,563,1
383,564,1
25,566,1
385,567,1
89,568,1
99,569,1
66,56,1
41,570,1
73,571,1
186,572,1
386,574,1
77,212,1
389,575,1
390,576,1
391,577,1
143,578,1
392,92,1
393,579,1
394,580,1
51,581,1
186,553,1
288,291,1
397,584,1
398,585,1
399,429,1
400,586,1
401,587,1
402,588,1
403,589,1
51,590,1
404,172,1
109,72,1
46,591,1
405,592,1
406,363,1
407,593,1
409,595,1
410,507,1
229,596,1
411,321,1
8,597,1
188,598,1
219,599,1
70,600,1
136,601,1
0,603,1
191,604,1
413,605,1
414,606,1
415,607,1
416,608,1
417,609,1
418,610,1
36,611,1
36,212,1
36,56,1
36,612,1
66,212,1
66,207,1
66,65,1
52,109,1
25,615,1
171,296,1
171,617,1
171,65,1
21,618,1
21,212,1
172,79,1
172,619,1
172,620,1
419,621,1
420,622,1
421,593,1
422,624,1
423,626,1
424,627,1
425,628,1
426,628,1
427,629,1
181,631,1
73,632,1
31,255,1
31,634,1
46,635,1
46,571,1
46,634,1
46,636,1
85,360,1
58,637,1
41,638,1
41,639,1
41,640,1
41,641,1
186,144,1
116,642,1
429,461,1
430,645,1
432,647,1
433,648,1
434,649,1
435,258,1
436,650,1
437,651,1
130,652,1
438,653,1
198,655,1
439,656,1
144,658,1
199,659,1
441,660,1
354,661,1
444,664,1
445,665,1
446,666,1
447,667,1
74,670,1
74,671,1
74,672,1
202,673,1
203,674,1
71,379,1
449,676,1
450,677,1
451,295,1
451,679,1
214,680,1
214,611,1
214,211,1
214,681,1
214,143,1
214,65,1
61,296,1
215,682,1
452,535,1
48,684,1
48,685,1
453,686,1
385,687,1
118,687,1
454,688,1
455,691,1
455,512,1
455,302,1
403,692,1
456,693,1
152,695,1
351,694,1
457,696,1
457,697,1
408,54,1
458,698,1
219,699,1
232,700,1
459,701,1
460,527,1
461,703,1
462,321,1
460,704,1
32,321,1
464,705,1
370,706,1
370,707,1
108,708,1
465,709,1
465,327,1
466,710,1
239,330,1
55,712,1
55,493,1
239,332,1
63,713,1
468,714,1
243,122,1
249,715,1
151,716,1
151,717,1
251,718,1
469,719,1
470,720,1
471,721,1
472,722,1
473,723,1
473,724,1
213,725,1
474,726,1
475,727,1
476,607,1
475,728,1
476,542,1
477,729,1
477,730,1
477,499,1
34,732,1
479,733,1
409,734,1
479,735,1
479,736,1
479,371,1
479,737,1
479,739,1
480,740,1
119,737,1
119,595,1
0,741,1
481,742,1
482,743,1
258,744,1
484,746,1
485,747,1
406,125,1
260,748,1
486,451,1
376,749,1
487,365,1
489,139,1
490,751,1
491,752,1
353,754,1
353,172,1
353,755,1
378,756,1
378,104,1
494,758,1
494,759,1
15,760,1
495,529,1
496,761,1
497,762,1
498,763,1
360,764,1
495,382,1
499,765,1
500,155,1
501,766,1
502,278,1
503,767,1
502,768,1
503,370,1
504,140,1
504,769,1
505,770,1
414,771,1
506,772,1
43,773,1
508,47,1
43,91,1
43,774,1
391,775,1
22,394,1
158,776,1
158,578,1
158,164,1
158,393,1
76,569,1
76,779,1
76,780,1
76,781,1
76,782,1
51,785,1
509,786,1
11,787,1
510,788,1
510,789,1
511,412,1
8,791,1
513,793,1
8,794,1
514,795,1
516,797,1
518,799,1
517,799,1
78,800,1
519,799,1
521,801,1
120,149,1
524,802,1
120,803,1
524,426,1
525,804,1
526,805,1
527,806,1
297,807,1
297,808,1
148,755,1
300,809,1
300,442,1
300,438,1
528,117,1
528,810,1
528,811,1
106,812,1
106,813,1
94,814,1
94,310,1
94,815,1
529,815,1
529,310,1
94,744,1
94,816,1
94,817,1
393,818,1
530,819,1
531,820,1
532,821,1
533,822,1
534,823,1
535,259,1
536,507,1
410,575,1
538,825,1
540,827,1
541,828,1
541,829,1
541,831,1
543,831,1
383,832,1
544,310,1
13,413,1
545,473,1
546,834,1
547,478,1
548,835,1
549,836,1
548,837,1
550,838,1
550,310,1
90,839,1
90,482,1
90,842,1
4,840,1
551,843,1
554,161,1
555,242,1
556,845,1
557,687,1
557,846,1
557,847,1
380,848,1
558,849,1
559,850,1
335,852,1
560,853,1
374,854,1
561,736,1
384,855,1
122,856,1
156,857,1
156,532,1
156,858,1
24,859,1
24,861,1
24,862,1
562,863,1
563,864,1
564,865,1
565,691,1
54,744,1
30,101,1
424,866,1
181,557,1
205,867,1
186,868,1
325,870,1
25,871,1
172,872,1
566,873,1
21,208,1
17,296,1
257,874,1
21,79,1
559,849,1
74,268,1
289,875,1
99,876,1
281,877,1
567,879,1
568,648,1
170,212,1
461,701,1
547,880,1
569,747,1
570,881,1
380,882,1
571,372,1
382,523,1
13,883,1
96,548,1
115,885,1
173,886,1
575,887,1
326,888,1
316,890,1
76,891,1
239,892,1
576,479,1
340,893,1
522,894,1
94,601,1
325,895,1
325,897,1
577,898,1
36,899,1
200,900,1
54,901,1
244,336,1
12,815,1
197,902,1
578,294,1
522,801,1
299,445,1
579,584,1
455,903,1
24,423,1
382,904,1
580,722,1
143,400,1
524,149,1
419,906,1
353,908,1
224,315,1
265,909,1
393,910,1
190,911,1
461,321,1
70,615,1
380,914,1
578,72,1
29,916,1
151,917,1
583,918,1
45,919,1
51,290,1
529,921,1
185,922,1
96,620,1
96,96,1
25,923,1
25,548,1
25,72,1
25,924,1
171,56,1
171,925,1
21,926,1
585,927,1
586,906,1
109,929,1
419,930,1
176,931,1
177,932,1
178,100,1
178,221,1
72,623,1
72,212,1
72,935,1
109,936,1
109,937,1
70,936,1
17,208,1
17,77,1
179,939,1
73,940,1
73,633,1
46,941,1
46,942,1
587,943,1
588,945,1
589,946,1
184,947,1
184,948,1
185,638,1
185,241,1
41,868,1
185,572,1
187,949,1
139,950,1
139,951,1
188,952,1
188,953,1
188,955,1
188,949,1
190,956,1
190,957,1
68,958,1
191,959,1
191,960,1
590,963,1
590,647,1
591,964,1
193,253,1
592,966,1
593,648,1
594,966,1
434,967,1
595,968,1
596,969,1
197,658,1
144,971,1
144,972,1
197,973,1
354,972,1
354,974,1
202,975,1
202,976,1
79,977,1
79,978,1
79,979,1
79,980,1
597,981,1
205,982,1
205,280,1
205,983,1
598,984,1
599,985,1
600,986,1
600,608,1
30,987,1
42,988,1
213,989,1
214,212,1
578,991,1
578,208,1
61,212,1
578,143,1
61,208,1
604,994,1
605,997,1
221,433,1
222,601,1
222,919,1
222,312,1
222,314,1
225,312,1
223,601,1
223,999,1
136,311,1
223,1000,1
136,999,1
136,312,1
150,1001,1
150,310,1
150,362,1
54,1002,1
227,1001,1
227,1002,1
228,1003,1
228,1004,1
230,1006,1
230,846,1
229,1007,1
231,701,1
606,821,1
231,321,1
607,1008,1
607,1009,1
113,1008,1
607,1011,1
607,1012,1
113,1012,1
128,1013,1
235,327,1
466,1014,1
467,712,1
608,1015,1
237,1015,1
610,1017,1
238,712,1
63,1018,1
63,1019,1
569,1020,1
612,1021,1
240,411,1
390,1023,1
390,1024,1
614,155,1
241,337,1
104,336,1
616,1025,1
244,66,1
245,122,1
77,1027,1
77,65,1
77,1028,1
77,554,1
77,56,1
77,1030,1
249,1031,1
617,1033,1
60,1035,1
618,740,1
0,1036,1
0,1037,1
27,1038,1
27,1039,1
258,107,1
258,1040,1
258,669,1
619,746,1
260,1042,1
260,1043,1
260,139,1
620,1044,1
147,1046,1
490,1047,1
124,1048,1
262,1049,1
262,139,1
264,139,1
263,1050,1
163,838,1
1,370,1
621,1051,1
266,1052,1
266,1053,1
266,1054,1
622,1055,1
623,1056,1
624,1059,1
268,1060,1
625,374,1
626,1062,1
270,1063,1
272,1064,1
271,1065,1
98,1068,1
180,383,1
98,1069,1
180,1070,1
180,1071,1
275,1072,1
158,386,1
143,391,1
276,386,1
276,578,1
277,395,1
277,388,1
276,398,1
99,782,1
99,1074,1
23,409,1
64,877,1
283,1075,1
8,1077,1
513,1078,1
285,1080,1
285,1076,1
286,1081,1
287,1083,1
627,1085,1
628,1087,1
629,1088,1
630,1088,1
291,1089,1
291,1091,1
100,135,1
631,1092,1
100,1093,1
527,708,1
133,1094,1
296,586,1
297,1096,1
298,503,1
69,1097,1
69,1098,1
69,1099,1
299,1100,1
148,1100,1
299,519,1
300,1101,1
300,435,1
632,1102,1
634,1103,1
635,136,1
303,1104,1
636,136,1
304,1105,1
637,1106,1
638,651,1
304,747,1
639,1107,1
639,747,1
640,1108,1
641,1109,1
309,1110,1
137,1112,1
313,1113,1
321,94,1
320,1114,1
