gene,drug,interaction
336,495,1
138,496,1
156,497,1
340,139,1
35,409,1
341,500,1
342,501,1
343,502,1
297,503,1
344,504,1
221,505,1
345,507,1
347,509,1
156,510,1
251,513,1
349,514,1
76,515,1
350,516,1
352,518,1
353,519,1
355,521,1
194,522,1
356,523,1
357,524,1
358,525,1
359,526,1
231,527,1
43,528,1
360,529,1
81,531,1
186,238,1
291,532,1
362,533,1
179,534,1
363,274,1
365,536,1
271,537,1
16,538,1
366,257,1
367,539,1
41,144,1
34,540,1
368,541,1
369,542,1
0,287,1
28,543,1
0,288,1
370,545,1
291,546,1
371,491,1
308,547,1
301,549,1
372,550,1
373,551,1
105,450,1
374,493,1
48,552,1
171,207,1
185,553,1
375,493,1
160,556,1
378,558,1
381,560,1
70,123,1
108,562,1
228,563,1
383,564,1
384,565,1
25,566,1
385,567,1
99,569,1
66,56,1
41,570,1
73,571,1
186,572,1
178,573,1
185,144,1
386,574,1
77,212,1
387,52,1
388,156,1
389,575,1
390,576,1
143,578,1
393,579,1
51,581,1
395,582,1
396,583,1
397,584,1
398,585,1
400,586,1
181,160,1
401,587,1
402,588,1
403,589,1
51,590,1
404,172,1
109,72,1
46,591,1
405,592,1
406,363,1
407,593,1
408,594,1
409,595,1
229,596,1
188,598,1
219,599,1
70,600,1
136,601,1
412,602,1
0,603,1
191,604,1
413,605,1
300,439,1
416,608,1
417,609,1
36,611,1
36,573,1
36,212,1
36,612,1
66,212,1
96,613,1
66,207,1
66,208,1
66,613,1
66,65,1
52,614,1
171,616,1
171,296,1
171,617,1
171,65,1
21,618,1
21,212,1
172,79,1
172,619,1
419,621,1
89,553,1
89,623,1
421,593,1
422,624,1
423,625,1
423,626,1
424,627,1
425,628,1
426,628,1
424,490,1
427,629,1
424,630,1
181,631,1
73,631,1
73,632,1
31,255,1
31,633,1
31,634,1
46,635,1
46,571,1
46,634,1
46,80,1
46,636,1
85,360,1
58,637,1
41,638,1
41,639,1
41,553,1
41,640,1
41,641,1
186,144,1
186,643,1
428,644,1
429,461,1
430,645,1
431,646,1
432,647,1
437,651,1
130,652,1
438,653,1
438,654,1
439,656,1
440,657,1
199,659,1
441,660,1
354,661,1
442,662,1
443,663,1
445,665,1
446,666,1
447,667,1
448,668,1
448,669,1
74,670,1
74,672,1
203,674,1
71,379,1
204,675,1
449,676,1
450,677,1
451,96,1
451,295,1
451,678,1
451,679,1
214,680,1
214,211,1
214,143,1
214,65,1
61,296,1
215,682,1
452,535,1
48,683,1
48,684,1
453,686,1
385,687,1
118,687,1
454,688,1
455,689,1
455,690,1
455,691,1
152,694,1
351,694,1
457,696,1
408,54,1
219,699,1
232,700,1
459,701,1
460,527,1
461,702,1
461,703,1
462,321,1
460,319,1
460,704,1
32,321,1
463,128,1
464,705,1
108,708,1
465,709,1
235,709,1
465,327,1
467,711,1
55,493,1
239,493,1
239,332,1
63,713,1
468,714,1
249,715,1
151,716,1
251,718,1
469,719,1
470,720,1
471,721,1
472,722,1
473,723,1
473,724,1
213,725,1
474,726,1
475,727,1
476,607,1
475,728,1
477,729,1
478,499,1
477,499,1
409,731,1
34,732,1
479,733,1
409,734,1
479,735,1
479,736,1
479,371,1
479,737,1
479,738,1
479,739,1
119,595,1
481,742,1
482,743,1
258,744,1
483,745,1
485,747,1
406,125,1
260,748,1
486,451,1
376,749,1
487,365,1
488,750,1
489,139,1
490,751,1
147,139,1
491,752,1
492,753,1
353,754,1
353,172,1
353,755,1
378,756,1
493,757,1
494,759,1
495,529,1
497,762,1
360,764,1
495,382,1
499,765,1
501,766,1
502,278,1
503,767,1
502,768,1
504,140,1
504,769,1
414,771,1
506,772,1
507,47,1
43,773,1
508,47,1
43,91,1
391,775,1
22,394,1
158,776,1
158,578,1
158,164,1
158,777,1
76,778,1
51,783,1
51,784,1
509,786,1
11,787,1
510,788,1
511,412,1
512,790,1
513,792,1
8,794,1
514,795,1
515,796,1
516,797,1
517,798,1
517,799,1
519,798,1
78,800,1
519,799,1
520,799,1
522,802,1
523,596,1
120,149,1
120,803,1
527,806,1
297,807,1
297,808,1
148,755,1
300,809,1
300,442,1
528,117,1
528,810,1
528,811,1
106,812,1
94,814,1
94,310,1
94,815,1
529,815,1
529,310,1
94,744,1
94,817,1
393,818,1
530,819,1
531,820,1
533,822,1
534,823,1
410,575,1
537,824,1
538,825,1
539,826,1
541,828,1
541,829,1
542,830,1
541,831,1
543,831,1
383,832,1
13,413,1
545,473,1
546,833,1
546,834,1
547,478,1
548,835,1
549,836,1
548,837,1
550,838,1
550,310,1
90,839,1
90,840,1
90,841,1
90,842,1
4,840,1
552,141,1
553,844,1
555,242,1
557,687,1
557,846,1
557,847,1
380,848,1
558,849,1
559,850,1
93,851,1
561,736,1
156,857,1
24,859,1
24,860,1
24,862,1
562,863,1
564,865,1
565,691,1
54,744,1
231,320,1
424,866,1
181,557,1
205,867,1
247,869,1
325,870,1
25,871,1
172,872,1
566,873,1
21,208,1
17,296,1
257,874,1
21,79,1
104,335,1
559,849,1
74,268,1
289,875,1
99,876,1
281,877,1
180,878,1
568,648,1
461,701,1
547,880,1
232,704,1
569,747,1
570,881,1
380,882,1
571,372,1
382,523,1
13,883,1
572,493,1
96,548,1
573,361,1
574,884,1
115,885,1
173,886,1
575,887,1
326,888,1
48,889,1
316,890,1
239,892,1
340,893,1
522,894,1
325,895,1
439,896,1
325,897,1
577,898,1
36,899,1
200,900,1
54,901,1
244,336,1
12,815,1
197,902,1
522,801,1
299,445,1
579,584,1
455,903,1
24,423,1
382,904,1
580,722,1
143,400,1
178,623,1
287,905,1
524,149,1
229,907,1
224,315,1
265,909,1
393,910,1
203,912,1
581,913,1
461,321,1
70,615,1
380,914,1
582,915,1
578,72,1
29,916,1
151,917,1
583,918,1
584,920,1
529,921,1
185,922,1
96,620,1
96,96,1
25,923,1
25,548,1
25,72,1
25,924,1
171,56,1
21,926,1
109,928,1
586,906,1
109,929,1
419,930,1
177,932,1
178,100,1
178,933,1
178,934,1
178,221,1
72,623,1
72,935,1
109,77,1
109,208,1
109,615,1
109,936,1
109,937,1
17,208,1
17,77,1
17,938,1
73,940,1
73,633,1
46,942,1
587,943,1
182,944,1
588,945,1
589,946,1
184,947,1
184,948,1
185,638,1
185,639,1
41,868,1
185,572,1
428,593,1
139,950,1
139,951,1
188,952,1
188,953,1
188,954,1
188,955,1
188,949,1
190,956,1
190,957,1
191,959,1
191,960,1
68,961,1
590,962,1
590,963,1
590,647,1
591,964,1
193,965,1
193,253,1
434,967,1
595,968,1
596,969,1
196,970,1
197,658,1
144,971,1
197,265,1
354,972,1
202,975,1
202,976,1
202,270,1
79,978,1
79,979,1
79,980,1
597,981,1
205,982,1
205,280,1
205,983,1
207,276,1
600,608,1
30,987,1
42,988,1
213,989,1
601,990,1
214,212,1
578,296,1
578,543,1
61,212,1
61,208,1
602,992,1
603,993,1
604,994,1
220,995,1
605,996,1
221,433,1
405,998,1
222,601,1
222,314,1
225,312,1
223,601,1
223,999,1
223,1000,1
136,999,1
136,312,1
150,362,1
54,479,1
227,1001,1
228,1003,1
229,1005,1
230,1006,1
230,846,1
231,701,1
606,821,1
231,321,1
607,1009,1
113,1010,1
113,1008,1
607,1011,1
607,1012,1
113,1012,1
128,1013,1
466,1014,1
467,712,1
608,1015,1
237,1015,1
609,328,1
237,1016,1
238,712,1
63,1019,1
569,1020,1
611,582,1
612,1021,1
240,411,1
613,1022,1
390,1023,1
241,1025,1
615,1025,1
104,336,1
104,1026,1
616,1025,1
245,336,1
244,66,1
245,122,1
77,1027,1
77,1028,1
77,1029,1
77,554,1
77,56,1
77,1030,1
249,1031,1
151,1032,1
617,1033,1
251,1034,1
60,1035,1
618,740,1
0,1037,1
27,1039,1
27,311,1
258,107,1
258,1040,1
258,669,1
619,746,1
406,1041,1
260,1042,1
260,1043,1
260,139,1
620,1044,1
413,1045,1
490,1047,1
262,1049,1
262,139,1
264,139,1
266,1053,1
266,1054,1
622,1055,1
346,1057,1
346,1058,1
624,1059,1
268,1060,1
268,1061,1
625,374,1
626,1062,1
270,1063,1
271,1065,1
271,1066,1
98,1067,1
98,1068,1
180,383,1
180,1070,1
180,1071,1
275,1072,1
22,395,1
22,396,1
158,386,1
143,391,1
276,386,1
276,578,1
143,392,1
143,777,1
276,1073,1
277,395,1
277,386,1
277,388,1
276,398,1
277,390,1
277,392,1
99,782,1
99,1074,1
23,409,1
64,877,1
280,68,1
283,1075,1
513,1076,1
513,1078,1
285,1079,1
285,1080,1
285,1076,1
286,1082,1
287,1084,1
627,867,1
627,1085,1
290,1086,1
628,1087,1
629,1088,1
630,1088,1
291,1089,1
291,1090,1
291,1091,1
100,135,1
631,1092,1
100,1093,1
527,708,1
133,1094,1
295,1095,1
296,586,1
298,503,1
69,1097,1
69,755,1
69,1098,1
69,1099,1
148,1100,1
299,519,1
300,1101,1
300,435,1
632,1102,1
633,117,1
634,1103,1
635,136,1
303,1104,1
636,136,1
304,1105,1
637,1106,1
638,651,1
304,747,1
639,747,1
640,1108,1
309,1110,1
137,1111,1
137,1112,1
313,1113,1
321,94,1
320,1114,1
642,1115,1
107,1116,1
107,719,1
643,1117,1
644,1118,1
324,1119,1
645,1120,1
548,1121,1
646,1123,1
646,1124,1
550,459,1
575,1125,1
647,1126,1
648,1127,1
325,1128,1
326,1129,1
326,1129,1
649,740,1
650,1130,1
651,1131,1
327,108,1
380,1132,1
381,433,1
652,1133,1
333,1134,1
653,1135,1
561,739,1
654,244,1
156,1091,1
156,106,1
656,1139,1
503,140,1
276,389,1
291,861,1
657,139,1
499,1141,1
658,1142,1
659,693,1
660,1143,1
200,1144,1
30,1145,1
491,1146,1
661,1148,1
662,1150,1
18,1106,1
231,704,1
663,1151,1
664,1152,1
190,1153,1
287,905,1
413,1155,1
276,777,1
205,1156,1
150,156,1
225,1158,1
89,934,1
371,849,1
206,279,1
381,1160,1
665,171,1
273,1154,1
56,1161,1
666,1162,1
153,356,1
667,1163,1
590,646,1
607,322,1
429,1164,1
78,1166,1
604,1167,1
198,657,1
669,1168,1
353,1169,1
670,1170,1
671,1171,1
565,1172,1
277,1173,1
324,1175,1
623,1176,1
296,503,1
247,1178,1
69,809,1
197,1179,1
403,1180,1
285,1181,1
656,1183,1
673,648,1
674,321,1
389,1184,1
109,872,1
45,1185,1
300,519,1
61,1186,1
27,509,1
51,291,1
300,908,1
54,1039,1
158,396,1
615,1190,1
676,491,1
186,1191,1
186,1191,1
3,511,1
677,1192,1
89,296,1
678,969,1
22,777,1
679,1150,1
277,396,1
52,212,1
459,700,1
188,242,1
680,1173,1
367,823,1
21,70,1
74,1195,1
103,1196,1
251,717,1
680,1197,1
681,1198,1
683,1200,1
202,1201,1
281,1202,1
686,258,1
28,1205,1
95,1206,1
36,1207,1
181,1210,1
36,1212,1
73,1213,1
31,226,1
31,227,1
46,1214,1
182,1215,1
85,371,1
58,371,1
85,637,1
58,311,1
85,1216,1
36,1217,1
688,945,1
167,1218,1
41,1221,1
41,572,1
429,556,1
36,1223,1
690,645,1
431,143,1
66,1224,1
691,646,1
431,647,1
691,647,1
431,963,1
366,1226,1
96,1212,1
438,513,1
694,1106,1
439,1230,1
214,1232,1
61,1233,1
61,1234,1
215,96,1
14,1235,1
695,1236,1
48,1237,1
66,193,1
48,1238,1
48,1239,1
48,1240,1
385,688,1
453,1241,1
118,1242,1
67,687,1
66,1243,1
66,1244,1
498,1160,1
498,747,1
498,1245,1
152,1246,1
659,1247,1
697,1248,1
698,1249,1
52,1250,1
699,1251,1
50,1015,1
700,1252,1
604,1253,1
232,318,1
701,700,1
701,321,1
461,1254,1
460,235,1
702,321,1
28,193,1
703,321,1
462,527,1
123,1256,1
123,1257,1
236,709,1
28,1258,1
466,1259,1
466,1260,1
704,1261,1
704,330,1
55,892,1
705,356,1
56,1262,1
56,675,1
56,1263,1
56,1265,1
390,1266,1
171,1224,1
706,1267,1
707,432,1
241,122,1
171,30,1
708,869,1
151,1271,1
709,467,1
251,1272,1
470,1273,1
710,1274,1
711,1275,1
712,1276,1
713,1277,1
51,288,1
51,1037,1
714,669,1
711,1217,1
171,1278,1
715,789,1
577,1279,1
577,1280,1
577,1281,1
512,502,1
155,162,1
716,1282,1
8,1283,1
513,1284,1
39,905,1
717,1285,1
667,1286,1
667,1287,1
515,1288,1
515,1290,1
398,1291,1
398,1292,1
398,1293,1
398,800,1
78,1293,1
517,1208,1
718,1294,1
570,1294,1
522,149,1
522,1295,1
523,1296,1
524,135,1
524,425,1
172,1278,1
100,135,1
526,1298,1
526,802,1
293,1300,1
172,1301,1
572,425,1
719,1302,1
546,1303,1
720,1304,1
146,1305,1
647,1306,1
648,841,1
325,1308,1
722,31,1
90,1309,1
90,897,1
4,839,1
723,1310,1
724,31,1
725,155,1
557,1311,1
331,1313,1
726,1314,1
332,1316,1
93,1134,1
332,1318,1
381,453,1
381,728,1
381,1319,1
53,1320,1
727,937,1
335,1321,1
561,735,1
561,593,1
156,1323,1
89,193,1
729,861,1
729,1323,1
729,423,1
349,1324,1
89,1325,1
730,479,1
563,103,1
732,39,1
47,39,1
423,1326,1
424,1327,1
424,1328,1
424,178,1
573,1329,1
73,1331,1
73,1332,1
31,1333,1
31,1334,1
46,1335,1
46,1336,1
182,1337,1
85,1338,1
58,1340,1
58,1341,1
734,1342,1
688,1343,1
184,1344,1
735,1345,1
185,1346,1
185,1346,1
185,1347,1
186,1349,1
186,1350,1
186,1347,1
736,1352,1
433,1353,1
434,1354,1
96,65,1
737,1355,1
0,406,1
738,1357,1
22,402,1
337,706,1
693,1359,1
436,1360,1
439,1362,1
303,1363,1
316,1364,1
198,1366,1
440,1367,1
198,1368,1
10,453,1
298,431,1
665,481,1
440,1369,1
104,338,1
741,551,1
444,1372,1
23,1146,1
744,1375,1
745,1376,1
523,801,1
33,1377,1
746,1378,1
134,1380,1
171,871,1
748,1381,1
89,96,1
689,1382,1
180,1383,1
529,1384,1
445,1385,1
749,1386,1
749,1386,1
751,1386,1
74,1328,1
752,421,1
69,441,1
203,1388,1
71,1389,1
143,1390,1
668,1391,1
754,1,1
158,70,1
558,1317,1
668,1394,1
110,1041,1
266,1395,1
755,1396,1
479,734,1
758,1398,1
416,1399,1
759,1400,1
293,1401,1
760,1402,1
761,1403,1
761,1404,1
762,1405,1
763,19,1
545,1407,1
451,1408,1
762,1409,1
764,1410,1
30,581,1
325,1411,1
61,193,1
307,1412,1
634,1413,1
765,1414,1
767,243,1
364,34,1
247,1417,1
287,1419,1
54,1420,1
522,425,1
385,1421,1
578,1422,1
385,1406,1
385,1423,1
22,1424,1
118,1425,1
769,1140,1
118,1426,1
454,1427,1
293,1428,1
770,1429,1
67,1427,1
128,699,1
104,339,1
346,1430,1
264,893,1
67,71,1
67,1431,1
67,1432,1
455,1433,1
455,1434,1
455,1435,1
771,1438,1
152,1439,1
772,1440,1
545,1441,1
351,1444,1
483,1445,1
701,704,1
299,755,1
773,10,1
92,495,1
214,566,1
711,1446,1
774,446,1
615,336,1
9,1448,1
769,1453,1
604,1454,1
777,1455,1
0,1456,1
232,1457,1
185,1458,1
352,1459,1
701,1457,1
459,1461,1
508,1462,1
459,1457,1
28,1463,1
461,1461,1
89,1464,1
221,432,1
607,1466,1
460,1457,1
413,750,1
780,374,1
781,1468,1
460,1465,1
782,1469,1
384,1471,1
702,11,1
411,11,1
203,379,1
411,1472,1
15,1473,1
11,749,1
674,1474,1
411,1475,1
674,11,1
562,746,1
656,1476,1
783,1477,1
674,1465,1
784,58,1
674,1478,1
463,1479,1
785,1480,1
607,1481,1
108,1482,1
123,1483,1
37,1484,1
249,1487,1
684,1488,1
465,1488,1
235,1489,1
723,1490,1
786,1491,1
467,1493,1
704,1494,1
704,1495,1
704,59,1
238,1496,1
704,1498,1
704,1493,1
704,1497,1
787,1499,1
55,1494,1
239,59,1
55,1500,1
202,271,1
238,892,1
55,1495,1
380,1501,1
705,1502,1
705,1503,1
438,1504,1
148,439,1
153,11,1
56,1508,1
211,1510,1
466,1511,1
241,1512,1
256,1513,1
242,1512,1
151,1514,1
789,1515,1
250,178,1
438,1516,1
790,1517,1
471,1518,1
170,1209,1
191,693,1
365,1520,1
710,1521,1
365,1433,1
791,1522,1
172,566,1
590,553,1
704,712,1
0,1524,1
793,1525,1
45,1526,1
578,1527,1
794,343,1
496,764,1
795,1528,1
348,849,1
796,1525,1
797,1529,1
798,1530,1
256,1531,1
475,1532,1
799,1533,1
477,1535,1
477,1536,1
409,1537,1
409,1538,1
479,1341,1
479,1539,1
479,1540,1
0,1541,1
800,1542,1
800,1544,1
27,1547,1
802,1548,1
27,1549,1
258,1550,1
258,1547,1
110,1552,1
486,1553,1
491,1557,1
804,1558,1
492,1559,1
738,1560,1
805,1561,1
806,1562,1
353,1563,1
353,1564,1
807,1565,1
274,1566,1
180,1567,1
15,1568,1
15,1569,1
15,1571,1
15,1572,1
15,1573,1
495,1574,1
503,1575,1
656,1576,1
808,181,1
809,1577,1
125,1578,1
810,181,1
125,1,1
43,1579,1
811,1314,1
43,1580,1
812,1454,1
813,1581,1
812,1582,1
683,1583,1
391,1584,1
683,1585,1
814,1584,1
683,1586,1
683,1587,1
158,1589,1
158,1590,1
22,1591,1
158,1593,1
158,1594,1
158,198,1
815,1595,1
76,1596,1
51,1597,1
51,1598,1
51,32,1
11,1600,1
714,1539,1
714,1601,1
715,1,1
715,1601,1
155,1602,1
816,1603,1
511,1604,1
816,1605,1
687,622,1
36,566,1
36,96,1
96,207,1
96,1606,1
96,1209,1
66,109,1
66,1606,1
66,899,1
66,548,1
66,543,1
28,212,1
28,481,1
28,871,1
711,1607,1
711,1608,1
21,1609,1
21,619,1
53,1187,1
53,1208,1
818,1610,1
819,1611,1
420,507,1
89,933,1
89,221,1
89,79,1
89,1612,1
166,1613,1
47,1614,1
820,1615,1
47,1616,1
423,1617,1
573,1618,1
427,1618,1
181,1619,1
181,1620,1
181,227,1
181,634,1
73,1621,1
73,1622,1
73,1623,1
73,1451,1
31,1624,1
31,636,1
31,89,1
31,1619,1
31,231,1
31,229,1
46,46,1
182,1625,1
182,943,1
58,278,1
92,637,1
85,311,1
167,1627,1
689,1629,1
185,868,1
185,1630,1
185,1630,1
185,44,1
41,238,1
41,922,1
690,1631,1
821,253,1
673,1632,1
434,1633,1
822,1634,1
823,1635,1
824,1106,1
438,1636,1
438,656,1
439,1637,1
440,1638,1
440,655,1
144,974,1
198,1640,1
354,1641,1
441,1643,1
37,1646,1
827,1647,1
829,1649,1
743,370,1
830,1650,1
831,1651,1
832,1652,1
832,1654,1
448,816,1
833,1656,1
448,814,1
74,976,1
74,975,1
74,1657,1
202,544,1
835,1658,1
79,1659,1
658,1660,1
757,1661,1
416,1662,1
836,1663,1
761,1665,1
451,208,1
451,1234,1
451,296,1
451,72,1
451,1234,1
214,1233,1
214,1422,1
214,208,1
578,1667,1
61,1669,1
215,212,1
215,1670,1
839,1671,1
48,1672,1
453,1673,1
67,1674,1
455,1240,1
565,302,1
498,693,1
403,1675,1
498,692,1
152,1676,1
351,1677,1
351,1678,1
351,695,1
776,594,1
459,320,1
459,318,1
701,527,1
461,320,1
841,321,1
842,321,1
843,321,1
463,1466,1
463,1011,1
128,1681,1
123,1682,1
169,1683,1
816,1685,1
8,1686,1
8,1687,1
844,1688,1
717,5,1
845,1689,1
610,328,1
704,892,1
704,493,1
55,330,1
779,453,1
56,1690,1
788,1263,1
63,1691,1
390,1692,1
706,1693,1
241,66,1
708,343,1
708,1694,1
5,1695,1
709,1696,1
847,1697,1
713,516,1
713,1274,1
471,1698,1
350,1274,1
717,1695,1
848,1699,1
584,1700,1
849,1701,1
851,1702,1
473,1703,1
852,1704,1
853,719,1
854,540,1
855,1706,1
339,1707,1
291,1708,1
409,1709,1
409,357,1
409,735,1
479,134,1
119,734,1
856,1710,1
0,1711,1
857,1712,1
0,1713,1
858,1715,1
859,1716,1
483,1719,1
260,125,1
110,139,1
260,1041,1
657,493,1
78,1720,1
803,493,1
413,1721,1
413,1722,1
519,1594,1
861,1723,1
491,1724,1
490,139,1
491,1197,1
491,1726,1
862,1727,1
863,1057,1
580,1728,1
864,1729,1
492,1730,1
863,753,1
771,1731,1
518,1727,1
865,1059,1
379,1732,1
271,1733,1
378,495,1
274,1420,1
274,1734,1
520,1727,1
15,1573,1
15,1737,1
15,1738,1
494,1067,1
496,382,1
345,1727,1
15,1739,1
867,1740,1
523,1741,1
502,1742,1
502,60,1
499,1106,1
868,1743,1
656,1380,1
523,1744,1
809,1745,1
869,140,1
523,1746,1
870,310,1
810,1306,1
43,771,1
523,1747,1
871,91,1
82,1462,1
631,1750,1
812,1751,1
872,47,1
83,1462,1
391,1752,1
741,1753,1
22,1755,1
22,388,1
22,393,1
22,393,1
158,397,1
158,1390,1
76,1756,1
76,1074,1
76,876,1
51,1757,1
51,1758,1
631,1759,1
51,1760,1
873,1761,1
120,1762,1
282,1763,1
11,1119,1
714,1764,1
714,1765,1
11,1766,1
714,789,1
510,1506,1
525,1768,1
874,162,1
816,412,1
525,1769,1
513,1770,1
39,1084,1
514,1772,1
514,1773,1
293,1774,1
783,1775,1
783,1776,1
78,1292,1
120,1614,1
292,804,1
876,1777,1
133,1778,1
399,1095,1
115,1780,1
303,1781,1
528,1782,1
297,1783,1
105,1782,1
161,1784,1
161,525,1
665,136,1
529,1785,1
529,107,1
529,1420,1
877,1786,1
94,156,1
878,173,1
879,1787,1
94,1665,1
878,1788,1
94,1785,1
148,1789,1
393,1038,1
880,243,1
148,1791,1
881,1792,1
367,1793,1
105,1794,1
6,1795,1
533,1796,1
882,469,1
65,1184,1
884,575,1
885,1184,1
410,1798,1
541,1799,1
12,359,1
12,1800,1
886,1801,1
887,1802,1
12,816,1
12,1002,1
361,413,1
888,119,1
889,1803,1
890,833,1
94,1339,1
545,1804,1
547,719,1
324,56,1
891,1805,1
529,1339,1
894,1807,1
893,1808,1
893,1809,1
548,1810,1
895,1123,1
896,1305,1
648,1812,1
882,190,1
648,842,1
325,1814,1
4,841,1
326,870,1
882,1508,1
897,1815,1
882,1816,1
898,141,1
899,370,1
884,1508,1
900,171,1
557,1674,1
394,1817,1
885,1816,1
371,1820,1
371,1134,1
332,1821,1
538,1822,1
381,1195,1
902,451,1
335,1823,1
903,849,1
374,511,1
561,1824,1
561,134,1
384,1826,1
337,1827,1
729,862,1
887,1829,1
