gene,drug,interaction
0,0,1
2,2,1
3,3,1
6,6,1
2,7,1
7,8,1
9,10,1
11,12,1
13,14,1
14,15,1
16,17,1
17,18,1
18,19,1
19,20,1
21,22,1
22,23,1
23,24,1
24,25,1
25,26,1
26,27,1
8,28,1
27,29,1
28,30,1
29,31,1
30,32,1
31,33,1
32,11,1
33,34,1
34,35,1
35,36,1
37,38,1
38,39,1
39,40,1
24,41,1
36,42,1
40,43,1
41,44,1
42,45,1
31,46,1
43,47,1
44,48,1
45,49,1
46,50,1
47,51,1
48,52,1
51,55,1
52,56,1
53,57,1
54,58,1
56,60,1
57,61,1
58,62,1
60,64,1
61,65,1
62,66,1
63,67,1
64,68,1
65,69,1
66,70,1
17,72,1
69,74,1
21,75,1
71,78,1
72,79,1
73,80,1
74,81,1
75,53,1
8,82,1
76,83,1
77,84,1
78,85,1
77,86,1
79,88,1
80,63,1
46,89,1
81,90,1
83,91,1
23,92,1
46,93,1
85,95,1
86,96,1
15,97,1
87,98,1
88,99,1
89,100,1
90,102,1
91,103,1
92,104,1
93,105,1
24,106,1
94,107,1
95,108,1
96,109,1
61,72,1
97,110,1
100,113,1
101,114,1
102,115,1
103,116,1
104,66,1
105,117,1
27,118,1
108,121,1
62,122,1
109,123,1
110,125,1
111,126,1
113,128,1
114,129,1
115,130,1
117,132,1
116,131,1
119,134,1
120,135,1
121,136,1
122,137,1
124,139,1
25,142,1
61,143,1
72,144,1
127,145,1
129,148,1
120,135,1
100,149,1
131,151,1
81,152,1
133,154,1
135,136,1
136,156,1
137,157,1
138,158,1
139,159,1
46,160,1
140,161,1
141,162,1
142,163,1
143,164,1
128,165,1
89,144,1
144,166,1
145,167,1
146,168,1
122,169,1
110,170,1
147,171,1
148,172,1
149,173,1
150,174,1
151,175,1
73,176,1
152,177,1
153,178,1
154,181,1
155,182,1
156,183,1
157,184,1
158,185,1
159,186,1
160,188,1
143,189,1
161,190,1
162,191,1
25,193,1
164,194,1
165,195,1
143,198,1
168,199,1
169,200,1
36,201,1
36,202,1
52,204,1
170,205,1
170,109,1
170,206,1
170,65,1
28,207,1
171,208,1
171,96,1
171,209,1
21,207,1
172,212,1
172,70,1
109,213,1
172,56,1
173,214,1
174,215,1
17,155,1
176,217,1
178,220,1
178,96,1
72,221,1
72,220,1
109,222,1
17,144,1
179,223,1
180,224,1
179,225,1
181,226,1
73,227,1
73,228,1
46,230,1
46,231,1
46,232,1
58,233,1
182,234,1
167,236,1
184,237,1
185,238,1
185,239,1
41,241,1
187,242,1
139,243,1
188,244,1
139,245,1
139,246,1
189,173,1
190,248,1
191,250,1
102,251,1
102,252,1
192,253,1
193,254,1
195,256,1
7,257,1
40,258,1
196,260,1
197,261,1
198,262,1
199,264,1
199,265,1
200,266,1
201,267,1
202,268,1
202,269,1
74,270,1
74,271,1
79,273,1
204,274,1
205,275,1
205,276,1
205,277,1
206,278,1
140,281,1
208,282,1
209,283,1
210,285,1
211,286,1
30,287,1
30,288,1
30,289,1
30,290,1
30,291,1
212,292,1
213,293,1
214,143,1
215,295,1
215,296,1
216,297,1
217,298,1
48,299,1
218,300,1
48,301,1
48,302,1
219,303,1
219,304,1
220,305,1
131,307,1
221,308,1
221,309,1
222,310,1
222,311,1
223,312,1
224,313,1
225,314,1
150,155,1
227,155,1
229,316,1
230,317,1
231,319,1
232,320,1
232,321,1
113,322,1
113,323,1
233,324,1
235,326,1
236,327,1
237,328,1
55,329,1
238,330,1
238,331,1
238,332,1
239,331,1
240,333,1
241,335,1
243,338,1
62,336,1
244,122,1
245,339,1
245,338,1
246,340,1
77,341,1
77,342,1
248,344,1
249,345,1
249,346,1
249,347,1
151,348,1
250,349,1
251,350,1
252,351,1
253,352,1
255,354,1
256,355,1
257,356,1
119,357,1
0,358,1
27,174,1
258,310,1
258,362,1
260,363,1
110,364,1
261,365,1
262,366,1
19,367,1
263,368,1
264,367,1
266,370,1
163,372,1
266,373,1
267,374,1
268,375,1
269,376,1
271,378,1
272,379,1
273,129,1
274,380,1
180,382,1
275,384,1
275,385,1
22,386,1
22,387,1
158,388,1
22,389,1
22,390,1
158,391,1
158,392,1
143,393,1
143,394,1
143,395,1
276,388,1
143,396,1
276,397,1
143,393,1
143,398,1
276,391,1
276,399,1
276,392,1
276,400,1
276,401,1
277,402,1
99,403,1
99,404,1
99,405,1
51,406,1
51,407,1
51,408,1
278,409,1
51,410,1
279,409,1
279,92,1
280,92,1
280,409,1
282,411,1
11,391,1
284,413,1
8,414,1
285,415,1
286,416,1
285,417,1
39,418,1
287,418,1
289,420,1
290,421,1
291,422,1
291,423,1
291,106,1
100,424,1
100,425,1
100,426,1
292,425,1
293,427,1
294,428,1
295,429,1
296,430,1
297,431,1
165,434,1
69,435,1
298,436,1
69,437,1
69,438,1
148,440,1
299,438,1
299,441,1
299,442,1
300,443,1
300,444,1
300,445,1
142,446,1
301,447,1
302,448,1
303,449,1
303,450,1
304,451,1
304,453,1
306,455,1
307,456,1
307,457,1
307,458,1
308,458,1
160,459,1
16,460,1
309,462,1
311,464,1
137,465,1
310,466,1
310,467,1
312,468,1
313,469,1
314,470,1
315,470,1
317,472,1
319,469,1
319,474,1
84,476,1
84,477,1
321,478,1
321,120,1
322,479,1
323,480,1
325,482,1
326,484,1
95,485,1
327,486,1
328,487,1
329,488,1
331,490,1
332,491,1
332,361,1
333,492,1
333,451,1
333,313,1
334,493,1
335,494,1
